,target,enrich,p,actives_database,hdc_actives_sampled
0,PPARG,4.285714285714286,1.0,7,3
1,PPARG,13.367346938775508,0.1,7,3
2,ALDH1,1.5064473192142658,1.0,1792,270
3,ALDH1,7.418603650137741,0.1,1792,270
4,KAT2A,0.8162890801463377,1.0,49,4
5,KAT2A,0.0,0.1,49,4
6,MTORC1,2.499395405078597,1.0,24,6
7,MTORC1,8.301204819277107,0.1,24,6
8,FEN1,0.9781838844490065,1.0,92,9
9,FEN1,8.690083048363459,0.1,92,9
10,ESR1_ant,5.354936402180496,1.0,26,14
11,ESR1_ant,33.6301775147929,0.1,26,14
12,ADRB2,0.0,1.0,4,0
13,ADRB2,0.0,0.1,4,0
14,GBA,0.9523166544500598,1.0,42,4
15,GBA,2.379506458453827,0.1,42,4
16,PKM2,1.3138258995946959,1.0,137,18
17,PKM2,7.289553512181249,0.1,137,18
18,OPRK1,1.6666666666666665,1.0,6,1
19,OPRK1,16.656790123456787,0.1,6,1
20,TP53,3.4738317757009347,1.0,20,7
21,TP53,24.136363636363637,0.1,20,7
22,ESR1_ago,3.3309523809523807,1.0,3,1
23,ESR1_ago,0.0,0.1,3,1
24,VDR,0.8597092022289653,1.0,221,19
25,VDR,7.237218845061983,0.1,221,19
26,IDH1,1.9998232630067383,1.0,10,2
27,IDH1,9.991390728476823,0.1,10,2
28,MAPK1,1.9474331259591744,1.0,77,15
29,MAPK1,7.760151241163899,0.1,77,15
