,target,enrich,p,actives_database,hdc_actives_sampled,trial
0,PPARG,66.83673469387755,0.01,7,7,0
1,PPARG,8.571428571428571,0.1,7,7,0
0,PPARG,53.469387755102034,0.01,7,7,1
1,PPARG,8.571428571428571,0.1,7,7,1
0,PPARG,53.469387755102034,0.01,7,7,2
1,PPARG,8.571428571428571,0.1,7,7,2
0,PPARG,66.83673469387755,0.01,7,7,3
1,PPARG,8.571428571428571,0.1,7,7,3
0,PPARG,66.83673469387755,0.01,7,7,4
1,PPARG,8.571428571428571,0.1,7,7,4
0,PPARG,53.469387755102034,0.01,7,7,5
1,PPARG,8.571428571428571,0.1,7,7,5
0,PPARG,66.83673469387755,0.01,7,7,6
1,PPARG,8.571428571428571,0.1,7,7,6
0,PPARG,66.83673469387755,0.01,7,7,7
1,PPARG,8.571428571428571,0.1,7,7,7
0,PPARG,53.469387755102034,0.01,7,7,8
1,PPARG,7.142857142857143,0.1,7,7,8
0,PPARG,66.83673469387755,0.01,7,7,9
1,PPARG,8.571428571428571,0.1,7,7,9
0,ALDH1,15.841228846910665,0.01,1792,1792,0
1,ALDH1,5.529219604967917,0.1,1792,1792,0
0,ALDH1,15.841228846910665,0.01,1792,1792,1
1,ALDH1,5.562696212061566,0.1,1792,1792,1
0,ALDH1,15.729670897284533,0.01,1792,1792,2
1,ALDH1,5.629649426248868,0.1,1792,1792,2
0,ALDH1,16.120123720975993,0.01,1792,1792,3
1,ALDH1,5.5515373430303505,0.1,1792,1792,3
0,ALDH1,16.231681670602125,0.01,1792,1792,4
1,ALDH1,5.523640170452308,0.1,1792,1792,4
0,ALDH1,15.39499704840614,0.01,1792,1792,5
1,ALDH1,5.4790046943274415,0.1,1792,1792,5
0,ALDH1,15.952786796536795,0.01,1792,1792,6
1,ALDH1,5.557116777545959,0.1,1792,1792,6
0,ALDH1,16.622134494293583,0.01,1792,1792,7
1,ALDH1,5.562696212061566,0.1,1792,1792,7
0,ALDH1,16.17590269578906,0.01,1792,1792,8
1,ALDH1,5.495742997874267,0.1,1792,1792,8
0,ALDH1,15.897007821723731,0.01,1792,1792,9
1,ALDH1,5.562696212061566,0.1,1792,1792,9
0,KAT2A,22.44537539786557,0.01,49,49,0
1,KAT2A,4.2855176707682725,0.1,49,49,0
0,KAT2A,26.526352742932037,0.01,49,49,1
1,KAT2A,4.081445400731689,0.1,49,49,1
0,KAT2A,22.44537539786557,0.01,49,49,2
1,KAT2A,3.4692285906219356,0.1,49,49,2
0,KAT2A,22.44537539786557,0.01,49,49,3
1,KAT2A,4.081445400731689,0.1,49,49,3
0,KAT2A,24.485864070398804,0.01,49,49,4
1,KAT2A,4.2855176707682725,0.1,49,49,4
0,KAT2A,26.526352742932037,0.01,49,49,5
1,KAT2A,3.877373130695104,0.1,49,49,5
0,KAT2A,26.526352742932037,0.01,49,49,6
1,KAT2A,4.897734480878026,0.1,49,49,6
0,KAT2A,24.485864070398804,0.01,49,49,7
1,KAT2A,4.081445400731689,0.1,49,49,7
0,KAT2A,26.526352742932037,0.01,49,49,8
1,KAT2A,4.081445400731689,0.1,49,49,8
0,KAT2A,20.404886725332336,0.01,49,49,9
1,KAT2A,4.081445400731689,0.1,49,49,9
0,MTORC1,29.05421686746988,0.01,24,24,0
1,MTORC1,5.415356711003627,0.1,24,24,0
0,MTORC1,24.903614457831324,0.01,24,24,1
1,MTORC1,4.165659008464329,0.1,24,24,1
0,MTORC1,29.05421686746988,0.01,24,24,2
1,MTORC1,3.7490931076178957,0.1,24,24,2
0,MTORC1,29.05421686746988,0.01,24,24,3
1,MTORC1,5.83192261185006,0.1,24,24,3
0,MTORC1,33.20481927710843,0.01,24,24,4
1,MTORC1,5.83192261185006,0.1,24,24,4
0,MTORC1,29.05421686746988,0.01,24,24,5
1,MTORC1,4.582224909310761,0.1,24,24,5
0,MTORC1,29.05421686746988,0.01,24,24,6
1,MTORC1,4.998790810157194,0.1,24,24,6
0,MTORC1,29.05421686746988,0.01,24,24,7
1,MTORC1,3.332527206771463,0.1,24,24,7
0,MTORC1,29.05421686746988,0.01,24,24,8
1,MTORC1,4.998790810157194,0.1,24,24,8
0,MTORC1,33.20481927710843,0.01,24,24,9
1,MTORC1,4.165659008464329,0.1,24,24,9
0,FEN1,56.48553981436248,0.01,92,92,0
1,FEN1,8.042845272136276,0.1,92,92,0
0,FEN1,52.14049829018075,0.01,92,92,1
1,FEN1,7.499409780775716,0.1,92,92,1
0,FEN1,52.14049829018075,0.01,92,92,2
1,FEN1,7.608096879047828,0.1,92,92,2
0,FEN1,53.22675867122619,0.01,92,92,3
1,FEN1,7.064661387687269,0.1,92,92,3
0,FEN1,57.57180019540792,0.01,92,92,4
1,FEN1,7.390722682503604,0.1,92,92,4
0,FEN1,53.22675867122619,0.01,92,92,5
1,FEN1,7.499409780775716,0.1,92,92,5
0,FEN1,55.399279433317055,0.01,92,92,6
1,FEN1,7.17334848595938,0.1,92,92,6
0,FEN1,52.14049829018075,0.01,92,92,7
1,FEN1,7.064661387687269,0.1,92,92,7
0,FEN1,55.399279433317055,0.01,92,92,8
1,FEN1,7.390722682503604,0.1,92,92,8
0,FEN1,56.48553981436248,0.01,92,92,9
1,FEN1,7.608096879047828,0.1,92,92,9
0,ESR1_ant,33.6301775147929,0.01,26,26,0
1,ESR1_ant,4.589945487583283,0.1,26,26,0
0,ESR1_ant,33.6301775147929,0.01,26,26,1
1,ESR1_ant,4.97244094488189,0.1,26,26,1
0,ESR1_ant,33.6301775147929,0.01,26,26,2
1,ESR1_ant,4.97244094488189,0.1,26,26,2
0,ESR1_ant,33.6301775147929,0.01,26,26,3
1,ESR1_ant,4.589945487583283,0.1,26,26,3
0,ESR1_ant,33.6301775147929,0.01,26,26,4
1,ESR1_ant,5.354936402180496,0.1,26,26,4
0,ESR1_ant,33.6301775147929,0.01,26,26,5
1,ESR1_ant,4.97244094488189,0.1,26,26,5
0,ESR1_ant,29.893491124260358,0.01,26,26,6
1,ESR1_ant,4.97244094488189,0.1,26,26,6
0,ESR1_ant,33.6301775147929,0.01,26,26,7
1,ESR1_ant,5.354936402180496,0.1,26,26,7
0,ESR1_ant,33.6301775147929,0.01,26,26,8
1,ESR1_ant,4.97244094488189,0.1,26,26,8
0,ESR1_ant,33.6301775147929,0.01,26,26,9
1,ESR1_ant,4.97244094488189,0.1,26,26,9
0,ADRB2,0.0,0.01,4,4,0
1,ADRB2,0.0,0.1,4,4,0
0,ADRB2,0.0,0.01,4,4,1
1,ADRB2,0.0,0.1,4,4,1
0,ADRB2,0.0,0.01,4,4,2
1,ADRB2,0.0,0.1,4,4,2
0,ADRB2,0.0,0.01,4,4,3
1,ADRB2,0.0,0.1,4,4,3
0,ADRB2,0.0,0.01,4,4,4
1,ADRB2,0.0,0.1,4,4,4
0,ADRB2,0.0,0.01,4,4,5
1,ADRB2,0.0,0.1,4,4,5
0,ADRB2,0.0,0.01,4,4,6
1,ADRB2,0.0,0.1,4,4,6
0,ADRB2,0.0,0.01,4,4,7
1,ADRB2,0.0,0.1,4,4,7
0,ADRB2,0.0,0.01,4,4,8
1,ADRB2,0.0,0.1,4,4,8
0,ADRB2,24.976023017902815,0.01,4,4,9
1,ADRB2,2.4998400102393448,0.1,4,4,9
0,GBA,61.8671679197995,0.01,42,42,0
1,GBA,7.142374908375449,0.1,42,42,0
0,GBA,61.8671679197995,0.01,42,42,1
1,GBA,7.618533235600478,0.1,42,42,1
0,GBA,54.72864854443802,0.01,42,42,2
1,GBA,7.618533235600478,0.1,42,42,2
0,GBA,61.8671679197995,0.01,42,42,3
1,GBA,7.380454071987964,0.1,42,42,3
0,GBA,61.8671679197995,0.01,42,42,4
1,GBA,8.094691562825508,0.1,42,42,4
0,GBA,59.487661461345674,0.01,42,42,5
1,GBA,6.904295744762933,0.1,42,42,5
0,GBA,54.72864854443802,0.01,42,42,6
1,GBA,7.380454071987964,0.1,42,42,6
0,GBA,57.10815500289184,0.01,42,42,7
1,GBA,7.618533235600478,0.1,42,42,7
0,GBA,57.10815500289184,0.01,42,42,8
1,GBA,7.142374908375449,0.1,42,42,8
0,GBA,61.8671679197995,0.01,42,42,9
1,GBA,7.380454071987964,0.1,42,42,9
0,PKM2,40.821499668215,0.01,137,137,0
1,PKM2,6.64211982572874,0.1,137,137,0
0,PKM2,35.718812209688124,0.01,137,137,1
1,PKM2,7.226042447770827,0.1,137,137,1
0,PKM2,37.17672291212437,0.01,137,137,2
1,PKM2,6.788100481239261,0.1,137,137,2
0,PKM2,39.363588965778746,0.01,137,137,3
1,PKM2,6.861090808994523,0.1,137,137,3
0,PKM2,40.821499668215,0.01,137,137,4
1,PKM2,6.277168186952435,0.1,137,137,4
0,PKM2,43.7373210730875,0.01,137,137,5
1,PKM2,6.715110153484001,0.1,137,137,5
0,PKM2,37.905678263342494,0.01,137,137,6
1,PKM2,6.64211982572874,0.1,137,137,6
0,PKM2,36.44776756090625,0.01,137,137,7
1,PKM2,6.64211982572874,0.1,137,137,7
0,PKM2,42.27941037065124,0.01,137,137,8
1,PKM2,6.861090808994523,0.1,137,137,8
0,PKM2,40.09254431699687,0.01,137,137,9
1,PKM2,6.861090808994523,0.1,137,137,9
0,OPRK1,33.313580246913574,0.01,6,6,0
1,OPRK1,3.333333333333333,0.1,6,6,0
0,OPRK1,33.313580246913574,0.01,6,6,1
1,OPRK1,3.333333333333333,0.1,6,6,1
0,OPRK1,33.313580246913574,0.01,6,6,2
1,OPRK1,3.333333333333333,0.1,6,6,2
0,OPRK1,33.313580246913574,0.01,6,6,3
1,OPRK1,3.333333333333333,0.1,6,6,3
0,OPRK1,33.313580246913574,0.01,6,6,4
1,OPRK1,3.333333333333333,0.1,6,6,4
0,OPRK1,33.313580246913574,0.01,6,6,5
1,OPRK1,3.333333333333333,0.1,6,6,5
0,OPRK1,33.313580246913574,0.01,6,6,6
1,OPRK1,3.333333333333333,0.1,6,6,6
0,OPRK1,33.313580246913574,0.01,6,6,7
1,OPRK1,3.333333333333333,0.1,6,6,7
0,OPRK1,33.313580246913574,0.01,6,6,8
1,OPRK1,3.333333333333333,0.1,6,6,8
0,OPRK1,33.313580246913574,0.01,6,6,9
1,OPRK1,5.0,0.1,6,6,9
0,TP53,43.445454545454545,0.01,20,20,0
1,TP53,6.947663551401869,0.1,20,20,0
0,TP53,38.618181818181824,0.01,20,20,1
1,TP53,5.4588785046728985,0.1,20,20,1
0,TP53,38.618181818181824,0.01,20,20,2
1,TP53,5.955140186915888,0.1,20,20,2
0,TP53,48.27272727272727,0.01,20,20,3
1,TP53,5.4588785046728985,0.1,20,20,3
0,TP53,43.445454545454545,0.01,20,20,4
1,TP53,5.955140186915888,0.1,20,20,4
0,TP53,43.445454545454545,0.01,20,20,5
1,TP53,4.962616822429907,0.1,20,20,5
0,TP53,38.618181818181824,0.01,20,20,6
1,TP53,5.955140186915888,0.1,20,20,6
0,TP53,43.445454545454545,0.01,20,20,7
1,TP53,5.4588785046728985,0.1,20,20,7
0,TP53,43.445454545454545,0.01,20,20,8
1,TP53,5.955140186915888,0.1,20,20,8
0,TP53,43.445454545454545,0.01,20,20,9
1,TP53,5.955140186915888,0.1,20,20,9
0,ESR1_ago,0.0,0.01,3,3,0
1,ESR1_ago,3.3309523809523807,0.1,3,3,0
0,ESR1_ago,0.0,0.01,3,3,1
1,ESR1_ago,3.3309523809523807,0.1,3,3,1
0,ESR1_ago,0.0,0.01,3,3,2
1,ESR1_ago,6.661904761904761,0.1,3,3,2
0,ESR1_ago,0.0,0.01,3,3,3
1,ESR1_ago,0.0,0.1,3,3,3
0,ESR1_ago,0.0,0.01,3,3,4
1,ESR1_ago,3.3309523809523807,0.1,3,3,4
0,ESR1_ago,0.0,0.01,3,3,5
1,ESR1_ago,3.3309523809523807,0.1,3,3,5
0,ESR1_ago,0.0,0.01,3,3,6
1,ESR1_ago,3.3309523809523807,0.1,3,3,6
0,ESR1_ago,0.0,0.01,3,3,7
1,ESR1_ago,0.0,0.1,3,3,7
0,ESR1_ago,0.0,0.01,3,3,8
1,ESR1_ago,3.3309523809523807,0.1,3,3,8
0,ESR1_ago,0.0,0.01,3,3,9
1,ESR1_ago,0.0,0.1,3,3,9
0,VDR,46.13727013727014,0.01,221,221,0
1,VDR,6.560938648589472,0.1,221,221,0
0,VDR,47.041922492902884,0.01,221,221,1
1,VDR,6.69668220683615,0.1,221,221,1
0,VDR,45.232617781637394,0.01,221,221,2
1,VDR,6.606186501338365,0.1,221,221,2
0,VDR,48.85122720416838,0.01,221,221,3
1,VDR,7.103912881576187,0.1,221,221,3
0,VDR,44.78029160382102,0.01,221,221,4
1,VDR,6.922921470580615,0.1,221,221,4
0,VDR,44.32796542600464,0.01,221,221,5
1,VDR,6.7419300595850435,0.1,221,221,5
0,VDR,44.32796542600464,0.01,221,221,6
1,VDR,6.651434354087257,0.1,221,221,6
0,VDR,44.78029160382102,0.01,221,221,7
1,VDR,6.69668220683615,0.1,221,221,7
0,VDR,47.94657484853563,0.01,221,221,8
1,VDR,6.7419300595850435,0.1,221,221,8
0,VDR,48.39890102635201,0.01,221,221,9
1,VDR,6.968169323329508,0.1,221,221,9
0,IDH1,29.97417218543046,0.01,10,10,0
1,IDH1,3.9996465260134766,0.1,10,10,0
0,IDH1,19.982781456953646,0.01,10,10,1
1,IDH1,2.999734894510107,0.1,10,10,1
0,IDH1,9.991390728476823,0.01,10,10,2
1,IDH1,2.999734894510107,0.1,10,10,2
0,IDH1,19.982781456953646,0.01,10,10,3
1,IDH1,3.9996465260134766,0.1,10,10,3
0,IDH1,0.0,0.01,10,10,4
1,IDH1,2.999734894510107,0.1,10,10,4
0,IDH1,9.991390728476823,0.01,10,10,5
1,IDH1,2.999734894510107,0.1,10,10,5
0,IDH1,9.991390728476823,0.01,10,10,6
1,IDH1,2.999734894510107,0.1,10,10,6
0,IDH1,0.0,0.01,10,10,7
1,IDH1,2.999734894510107,0.1,10,10,7
0,IDH1,19.982781456953646,0.01,10,10,8
1,IDH1,3.9996465260134766,0.1,10,10,8
0,IDH1,9.991390728476823,0.01,10,10,9
1,IDH1,3.9996465260134766,0.1,10,10,9
0,MAPK1,18.107019562715767,0.01,77,77,0
1,MAPK1,4.284352877110183,0.1,77,77,0
0,MAPK1,16.81366102252178,0.01,77,77,1
1,MAPK1,4.673839502302018,0.1,77,77,1
0,MAPK1,18.107019562715767,0.01,77,77,2
1,MAPK1,4.154524002046238,0.1,77,77,2
0,MAPK1,12.93358540193983,0.01,77,77,3
1,MAPK1,4.673839502302018,0.1,77,77,3
0,MAPK1,16.81366102252178,0.01,77,77,4
1,MAPK1,4.8036683773659625,0.1,77,77,4
0,MAPK1,18.107019562715767,0.01,77,77,5
1,MAPK1,4.0246951269822935,0.1,77,77,5
0,MAPK1,19.400378102909748,0.01,77,77,6
1,MAPK1,4.154524002046238,0.1,77,77,6
0,MAPK1,15.520302482327798,0.01,77,77,7
1,MAPK1,3.894866251918349,0.1,77,77,7
0,MAPK1,15.520302482327798,0.01,77,77,8
1,MAPK1,4.284352877110183,0.1,77,77,8
0,MAPK1,18.107019562715767,0.01,77,77,9
1,MAPK1,3.7650373768544037,0.1,77,77,9
