dataset	nway	kshot	kquery	n_problems	classifier_type	hidden_size	num_epochs	fsl	acc	acc_ci95	recall	recall_ci95	encode_time	encode_ci95	train_time	train_time_ci95	test_time	test_time_ci95	support_size	query_size	success
postera	2	1	-1	30	HD	8192	0	True	51.015625	1.1665003136608378	0.5877450980392157	0.06629388557314689	0.0005080620447794596	7.060332976978663e-05	4.275639851888021e-06	1.4350736372982088e-06	0.0017240524291992187	0.00029233876772091484	2	128	True
postera	2	1	-1	30	HD-Sparse	8192	0	True	50.416666666666664	1.2094469844114093	0.5617647058823529	0.08599314815833119	0.00022951761881510416	1.9837565650820942e-05	3.3934911092122394e-06	1.2902688905479077e-06	0.0014180342356363933	0.0001109722323147936	2	128	True
postera	2	1	-1	30	L1	0	0	True	48.776041666666664	3.2399868061091817	0.5191176470588235	0.08498624693676483	0.0	0.0	3.10977300008138e-05	2.2918038713568643e-06	0.0012781778971354167	5.2340756783078583e-05	2	128	True
postera	2	1	-1	30	L2	0	0	True	50.677083333333336	2.9882124228033544	0.5740196078431372	0.0913552137192487	0.0	0.0	3.03188959757487e-05	5.93585309090112e-07	0.0012485742568969726	3.562080664544751e-06	2	128	True
postera	2	1	-1	30	cosine	0	0	True	50.911458333333336	1.3678468317580235	0.5544117647058824	0.07527486043567368	0.0	0.0	2.9937426249186197e-05	1.2001796105278116e-07	0.0013883670171101889	7.197881984085522e-05	2	128	True
postera	2	1	-1	30	MLP	512	5	True	51.744791666666664	1.0963468015719888	0.5401960784313727	0.10688425015971978	0.0	0.0	0.009548807144165039	0.0002320956961824599	0.0012364705403645833	5.8752148761489085e-05	2	128	True
postera	2	1	-1	30	Uniform	0	0	True	0.49973958333333335	0.017134852975361898	0.4970588235294117	0.02315470262708114	0.0	0.0	0.0	0.0	0.0009590784708658854	4.537694946055367e-05	2	128	True
postera	2	-1	-1	30	HD	8192	0	False	49.375	0.264236156738206	0.492156862745098	0.002625362549187035	0.10683448314666748	0.0003141603628969657	3.6001205444335937e-06	1.2324983851246956e-06	0.0014418522516886393	8.020373249205439e-05	1994	128	True
postera	2	-1	-1	30	HD-Sparse	8192	0	False	46.875	0.0	0.0	0.0	0.10585011641184489	0.00035761229325481864	2.972284952799479e-06	8.445185276469587e-07	0.001326886812845866	4.792981536421714e-05	1994	128	True
postera	2	-1	-1	30	L1	0	0	False	46.875	0.0	0.0	0.0	0.0	0.0	3.352959950764974e-05	4.053858158808311e-06	0.0028471946716308594	0.00011172991900416269	1994	128	True
postera	2	-1	-1	30	L2	0	0	False	46.875	0.0	0.0	0.0	0.0	0.0	3.1828880310058594e-05	1.6385527729455e-06	0.0027602752049763995	2.5759305730432048e-05	1994	128	True
postera	2	-1	-1	30	cosine	0	0	False	46.875	0.0	0.0	0.0	0.0	0.0	3.1789143880208336e-05	1.6182264446799784e-06	0.0014307975769042968	3.694151833669044e-05	1994	128	True
postera	2	-1	-1	30	MLP	512	5	False	46.875	0.0	0.0	0.0	0.0	0.0	0.00972437858581543	0.00011013535761558896	0.0012107690175374348	1.85465005193685e-06	1994	128	True
postera	2	-1	-1	30	Uniform	0	0	False	0.50234375	0.018263361677804704	0.5088235294117648	0.02072267218863067	0.0	0.0	0.0	0.0	0.0009617884953816732	2.3777990116234297e-05	1994	128	True
