,target,enrich,p
0,PPARG,13.862433862433862,0.1
1,PPARG,13.862433862433862,0.1
2,PPARG,5.67099567099567,0.25
3,PPARG,2.8571428571428568,0.5
4,PPARG,1.899927483683829,0.75
5,PPARG,1.4285714285714284,1.0
6,ALDH1,6.693476977567887,0.1
7,ALDH1,6.693476977567887,0.1
8,ALDH1,3.926839826839827,0.25
9,ALDH1,2.365680234617958,0.5
10,ALDH1,1.785583055562846,0.75
11,ALDH1,1.4480627694442805,1.0
12,KAT2A,5.101221681333084,0.1
13,KAT2A,5.101221681333084,0.1
14,KAT2A,2.0404886725332334,0.25
15,KAT2A,1.428505890256091,0.5
16,KAT2A,1.2243868110743037,0.75
17,KAT2A,1.0203613501829223,1.0
18,MTORC1,4.150602409638553,0.1
19,MTORC1,4.150602409638553,0.1
20,MTORC1,2.496376811594203,0.25
21,MTORC1,1.6662636033857314,0.5
22,MTORC1,1.1103948428686543,0.75
23,MTORC1,0.8331318016928657,1.0
24,FEN1,6.52122589632671,0.1
25,FEN1,6.52122589632671,0.1
26,FEN1,3.4775961839224276,0.25
27,FEN1,1.847680670625901,0.5
28,FEN1,1.231833275762059,0.75
29,FEN1,0.9238922685489567,1.0
30,ESR1_ant,5.6050295857988175,0.1
31,ESR1_ant,5.6050295857988175,0.1
32,ESR1_ant,2.277043269230769,0.25
33,ESR1_ant,1.1474863718958208,0.5
34,ESR1_ant,0.767004048582996,0.75
35,ESR1_ant,0.7680145941015507,1.0
36,ADRB2,0.0,0.1
37,ADRB2,0.0,0.1
38,ADRB2,0.0,0.25
39,ADRB2,0.0,0.5
40,ADRB2,0.0,0.75
41,ADRB2,0.0,1.0
42,GBA,5.948766146134567,0.1
43,GBA,5.948766146134567,0.1
44,GBA,2.8569499633501794,0.25
45,GBA,2.618870799737665,0.5
46,GBA,1.7459138664917764,0.75
47,GBA,1.5476190476190477,1.0
48,PKM2,4.742058856665104,0.1
49,PKM2,4.742058856665104,0.1
50,PKM2,2.6276517991893917,0.25
51,PKM2,1.6787775383710002,0.5
52,PKM2,1.3138258995946959,0.75
53,PKM2,1.1313500802065437,1.0
54,OPRK1,0.0,0.1
55,OPRK1,0.0,0.1
56,OPRK1,0.0,0.25
57,OPRK1,0.0,0.5
58,OPRK1,0.0,0.75
59,OPRK1,0.0,1.0
60,TP53,12.068181818181818,0.1
61,TP53,12.068181818181818,0.1
62,TP53,4.916666666666667,0.25
63,TP53,2.4813084112149535,0.5
64,TP53,1.659375,0.75
65,TP53,1.2464788732394365,1.0
66,ESR1_ago,0.0,0.1
67,ESR1_ago,0.0,0.1
68,ESR1_ago,0.0,0.25
69,ESR1_ago,6.661904761904761,0.5
70,ESR1_ago,4.4412698412698415,0.75
71,ESR1_ago,3.3309523809523807,1.0
72,VDR,3.6186094225309917,0.1
73,VDR,3.6186094225309917,0.1
74,VDR,1.809710931452129,0.25
75,VDR,1.0407006132245369,0.5
76,VDR,0.8144308704235091,0.75
77,VDR,0.6560938648589472,1.0
78,IDH1,19.993815571507454,0.1
79,IDH1,19.993815571507454,0.1
80,IDH1,7.9984095427435395,0.25
81,IDH1,3.9996465260134766,0.5
82,IDH1,2.6665291994992266,0.75
83,IDH1,1.9999337199668599,1.0
84,MAPK1,3.2436611008039575,0.1
85,MAPK1,3.2436611008039575,0.1
86,MAPK1,2.336919751151009,0.25
87,MAPK1,1.8176042508952293,0.5
88,MAPK1,1.2982887506394494,0.75
89,MAPK1,0.974025974025974,1.0
